codigo,nome,homepage
000177,Brasquimica,http://WWW.brasquimica@.com.br
001120,Bria Tennis - Bryan Serviços,
000242,Brinquedos Park Diversões Ltda,http://www.brinquepark.com.br
000859,Brumake Materiais Elétricos,http://www.brumake.com.br
000339,Bruno Aplicação e Polimento,
000567,BTS  Tercerização de Serviços Ltda (Paisagismo),
000581,BTU & BTU,http://.
000534,BUGATTI,http://WWW.BUGATTIBRASIL.COM.BR
000831,Bunker - Locações ( Containers Desmontáveis ),http://www.bunkerlocacoes.com.br
000021,Butano,
000418,C B A Companhia Brasileira de ALuminio,
000725,Caetano Comércio  e Serviços de Engenharia Ltda,http://www.caetano.com.br
000551,Caimex Comércio Exterior Ltda,
000022,Cajaíba - Central de Britagem,
000025,Camilo Cláudio (Forro de Gesso),
000911,Camisa 10 ( BELA LUMI ),http://www.belalumi.com.br
000714,Canto Verde,
000769,Carbinox Ind. Comercio Ltda ( Tubos Galv.),http://www.globaltubos.com.br
000026,Careca Marmore e Granito,
000488,Carp (Grupo GRX) Barita,
000873,Carroceria - São João,
000028,Carvalho Design e Interiores Ltda,http://www.carvalhodesign.com.br
000735,Carvalho Metalurgica Verona (Tanque ),http://www.metalurgicaverona.com
000190,Casa Argentina ( Center Mix ),
000031,Casa da Eletricidade,
000285,Casa das Baterias,
000812,Casa das Bombas - Londrina,http://www.bombaslondrina.com.br
000266,Casa das Fardas,
000665,CASA DAS LETRAS,http://.
000104,Casa das Pedras,
001128,Casa das portas São Lucas,
000033,Casa das Telhas,
000034,Casa das Tintas Ltda,
000998,Casa do construtor,
000036,Casa do Panificador,
000315,Casa do Parafuso  Aracaju Ltda,
000888,Casa do Parafuso Vasconcelos,
001093,Casa do Plug,
000390,Casa do Restaurador,http://www.casadorestaurador.com.br
000274,Casa dos Alarmes,http://http://www.casadosalarmes.com.br/
000985,Casa dos Extintores,
000839,Casa dos motores,
001014,Casa Oliveira  (Glifarma),
000038,Casa Santa Rosa,
000502,casa santa rosa ( Manual ),
000969,Casa Viva Moveis & Decoração Ltda,
000650,Cast Iron ( Tampões),
000015,Cavan,http://www.cavan.com.br
000857,CBL - Galpão,
000208,CDV Barreiras,http://www.cdv.com.br
000441,Cedisa Central de Aço S.A,
000805,Cehop,
000452,Celi Decorações,
000902,Celi Revestique,http://www.celimalldecor.com.br
000342,Celite - Representante,
000504,CEMAR,http://http://www.cemar.com.br
000394,Central das Tintas,
000951,Central do Acrilico,
001086,Central do LED,
000820,Central Leader ( Material Eletrico) Média Tensão,http://www.mediatensao.com.br
000762,Central TEC Climatização Ltda,
000959,Century/tubos,
000269,CEPPA,
000770,Ceramica Elizabeth - A Líder Representações,http://www.alider.com.br
000380,Cerâmica Sacramento,http://www.sacramento.arq.br
000565,Cerâmica Samarsa,
000312,Cerâmica Santo Antonio (JMF Ser. Ind. e Tranp.EPP),
000561,Cerâmica São José,http://www.ceramicasaojose-se.com.br
000843,Cercas e Cia,http://www.cercaecia.com.br  www.comfil.com.br
000674,César Comércio e Representações Ltda ( Bombas),http://www.cesarnatal.com.br
000301,Chip & Cia - Informática Empresarial Ltda,http://www.chipcia.com.br
001044,Churrasqueiras Zebu LTDA,
000641,Cia da Fibra  ( Fibras para todas as finalidades),
001117,Cia da Luz Design,
001053,Cia da Pscina,
001016,Cia Filtros - Tratamento Àgua ME Ltda,http://www.ciafiltros.com.br
000319,Cilel - Com. Ind. de Premoldados,http://www.cilel.com.br
000357,CINOMATIC DO BRASIL,http://www.cinomatic.com.br
000199,Cismoe Metais Finos,http://http://www.crismoe.com.br/
000040,CITEC - Tubos de Concreto,
000726,CLANAP,http://WWW.CLANAP.COM.BR
001113,Click Engenharia,
001110,Clímax Tecnologia,
000975,Clovis ( Piso Alta-resistencia),
000743,CML - Construtora Maia Ltda (Piso Alta resist.),
001029,Coagro - R B Dantas Ltda,
000785,Codevasf ( Comp.Desenv.Vale S.Francisco ),
000509,Com1 Comércio e Serviço,
000364,Comacil -Com. Atacadista de Cimento Ltda (karibe),
000777,Comep Indústria e Comércio Ltda,
001034,Comercial Aliança,
000676,Comercial Cosimo Cataldo (Cortina Divisória),http://www.cosimocataldo.com.br
000515,Comercial Dias  (tubos e Conexões F°F°),
000237,Comercial E Representações Globo Ltda,http://www.issa.com.br
000387,Comercial Elétrica WCA Ltda,
000388,Comercial Gerdau (Representante Sr. Pedro),
000076,Comercial Gerdau Ltda,
001030,Comercial H C   ( Irrigação ),
000250,Comercial Primus - LAJE,
000245,Comovent,http://WWW.GRUPOCOMO.COM.BR
000693,COMPRAFACIL,http://WWW.COMPRAFACIL.COM.BR
000814,Concrecorte,
000414,Concredur Artefatos de Cimento Ltda,
000447,CONCREMASSA,http://http://www.concremassa.com.br
001081,Concrenor Ind. de Artefatos de Cimento,
000042,Concreta (Recuperação de Estruturas),
000417,Concretiza Equipamentos e Serviços,
000043,Concreto Redimix do Brasil S/A,
000189,Conectar,http://www.sergipe.com.br/conectar
001136,Confibras Resinas e fibras de vidro,
000904,CONFRIO,
000044,Conipost,http://http://www.ciaarte.com.br/conipost
000679,CONSTRUCIL,http://.
000045,Constru-Gesso Ltda.,
000200,Cony Industria e Comércio Ltda,http://http://www.conybanho.com.br/
000225,Copafel,http://www.copafel.com.br
000358,COPLAS,http://www.coplas.com.br -  (11) 4543-6126
000262,Coppersteel,http://www.coppersteel.com.br
000436,Cortinas e Cia,
000934,Cosmed - Saúde e Segurança do Trabalho,
000602,COSTA LION,http://www.costalion.com.br
000936,CPF - Comercial de Parafusos e Ferragens,
000540,"CR - Oxigênio, Gases e Equipamentos Ltda",
001001,CRYSTALFER,
001002,CRYSTALFER,
000655,CUMMINS - POWER GENERATION,http://.
000047,Curral Fazenda,
000313,D cabos,http://http://discabos-se.com/home.htm
000526,D R DISTRIBUIDORA DE AÇO,
000299,D`INOX Ind. com. Ltda,
000437,DAIKEN,http://www.daiken.com.br
000916,DânicaZipco -  Telhas Termoroof,
000382,Day Brasil S/A,
000196,DB - SOM,http://http://www.dbsom.com.br/1.html
000048,Deca,http://comercial@juniorribeiro.com
000475,Decoralar - Residência Decorações ( forro PVC ),
000851,Decorart-se,http://www.decorart-se.com.br
000182,Deda & Peixoto,
001097,Del Artes Comunicação Visual,
000244,DEL Representações Ltda ( Banco de Ferro C/reguas),
000363,DELTA,
000791,Delta Saneamento Ambiental,
000440,Deposito Central (Tinta Demarcação),
000049,Depósito Fonseca Com. e Repr. Ltda,
000465,DER-RS,http://www.daer.rs.gov.br
000990,Designer Glass Com. serv.Eirelli Ltda (porta Aut.),
000619,DESK - Móveis escolares e produtos plásticos Ltda,http://www.deskmoveis.com.br
000761,Desk Cadeiras,
000310,DESO - Companhia de Saneamento de Sergipe - Água,
000451,Di Casa Interiores,http://www.dicasainteriores.com.br
000782,Difusore - Exaustores - DIFUSTHERM Ind. de Metais,http://www.difusthem.com.br
000817,Dimadeira,
000981,Dimensão Iluminação Ltda ( Braço p/ Luminaria Pub),
000051,Dimep - Relógio Eletrônico,
000571,DIPAWA,http://www.dipawa.com.br
000230,Disgal Distribuidora de gases Aracaju,
000457,Distribuidor (Tonho do Cimento),
000456,Distribuidora Sergipana de Cimento R D K,
000640,DISTRITEC,http://.
000481,Div - Monta ( forro PVC ),
000311,Diversos,
000328,DIVERSOS-2,
000354,DIVIART,
000224,Divisorias Neocon System,http://www.neocon.com.br/
000862,Divisystem,http://www.divisystem.com.br
000879,DNA Gesso,
000288,DNIT - manual,http://http://www.dnit.gov.br/rodovias/sicro/ne.htm
000837,"Doctor""x"" Radiologia",http://www.doctorxradiologia.com.br
000925,Domingos - Placa de Sinalização,
000389,Domingos e Filhos,http://*
000617,DOOR - MATIC,http://.
001135,DOUGLAS MED PRODUTOS MÉDICOS,
000498,DSI Indústria Metalúrgica Ltda,http://www.tanques.com.br
000620,DUFRIO,http://WWW.DUFRIO.COM.BR
000894,DUPLICHAVES,
000966,DUPONT,
001037,Dywidag Safer. Stronger. Smarter,
000822,E T P Saneamento ( tubos e coneções de fº fº ),
000505,Eaton - Powerware,http://a
000629,Eaton Power Solution Ltda (No Break),
001031,EAUT- Comércio de Material Elétrico e Seviços Ltda,
000054,EB - Elétrica Bahiana - Produtos Phillips,http://www.eletricabahiana.com.br
000748,Eco Tecnologia Ambiental (separador  àgua e óleo),http://www.ecotenologia.com.br
000883,ECOMAD PISOS - ESPORTVOS E RESIDENCIAIS,http://www.ecomadpisos.com.br
000624,Editora PINI,
000484,EDUAÇO,http://WWW.EDUACO.COM.BR
000546,Electra ( Material Eletrico ),
000607,Eletrica Brasil Ind.Comercio de Transformadores,
000168,Elétrica Mendonça,
000669,Eletrônica Audio Líder Ltda,
000827,Eletronica Nacional,
000056,Eletrônica Satelite,
000668,Eletrônica universal Ltda,
001047,Elevação Andaimes,
000967,Eli Andaimes,
000333,"Eliane ""A Cerâmica do Brasil""",http://www.eliane.com.br
000485,ELPM - Representações Ltda (tampão),
000366,ELUMA,http://www.eluma.com.br
000815,Emporio Casa,
000381,Empresa de Transporte Atlas Ltda,
000057,Emurb,
000613,ENCAL,http://.
000280,Encal Ltda,http://www.imosa.com.br
000309,Energisa,http://*
001041,Engeblind,
000755,Engeduto ( caixa p/ piso elevado ),
000448,Engerrede,http://www.engerrede.com.br
000464,ENGESUR,
000270,EPS,
000058,Eqpal,
000059,ERG - Industrial Pré-Moldado Concreto Ltda,
000060,Eskal-Esquadrias Comércio e Prestação de Serviços,
001115,Espaço Smart,
000332,Esquadria Aloisio,
000528,Esquadria J S  Aluminio Ltda (Aluminio e ferro),
000317,Esquadria J. Alves,
000532,Esquadria SHEKINAH ( Santa Barbara ),
000318,Esquadria Xavier,
000062,Esquadrias São José,
000063,Esquina da Construção,
000609,ESTACA - AGM GEOTÉCNICA LTDA,http://.
000968,Estil LED - Energia Sustentável e Tecnolugia,http://www.estilled.com.br
001043,Eternit - Representante,
000962,Etinho Guindastes,
000595,ETS,http://www.etsengenharia.com.br
000576,Exaustor - ISOLATEC,http://http://www.isolatec.com.br/
000787,F.Pinheiro (produtos DENVER),
000568,FÁBIO - PRANCHAS METÁLICAS,
000181,Fabrica de Ladrilho Santana (José Nunes),
000727,Fabrica de Ladrilhos Santo Antonio,
000489,Fabrica de telas São Jorge,
000347,Fabrimar Metais (Janisson Cabral Repre. Ltda),
000246,FACIL - Fabrica de Artefatos de Cimento,http://www.facil.concreto.com.br
001102,Fácil Esporte,
000350,FAEL LUCE,http://www.faelluce.com
000255,Falco Trading,http://www.falcotrade.com.br
000391,Farmac Comercio Representações Ltda,
000066,Fartese - Artefatos de Cimento,
000345,Fatese - Fabrica de Telas de Sergipe,
000344,Fatto Assessoria Ltda,
000326,Fechadura Pado,
000552,FECHADURAS IMAB,http://www.imab.com.br
000067,Fernando (Representante Vedacit),
000068,Ferragens Santa Rita,
000069,Ferragens Santa Rosa,
000443,Ferral - Esquadria e Armação p/Mosquiteiros,
000869,Ferreira Costa & CIA LTDA.,
001105,Ferro Corte,
000615,Ferro Entulho,
000071,Ferseg - Ferramentas/Extintores,
000495,Fiagro Fábrica de Implementação Agrícolas Olímpia,
000072,Fiberglass Ind. Com. Ltda.,
000375,Fibralit Industria e Comércio Ltda,http://www.fibralit.com.br
000497,"Fido - Construtora, montagens Ind. Importção e Exp",http://www.fido.com.br
001112,Fiel Ferramentas e Máquinas,
000295,Figueiras e Almeida Ltda ( Fibrafix),
000741,Fire Painés Comandos e Serviços Ltda,http://www.firepaineis.com.br
000073,Flora Fértil (Gallotti Empreendimentos e Serviços,
001088,FM fundações,
000804,FM MIX,http://-
000912,FM Transporte (Locação ),
000658,FOCKINK - QUADROS ELÉTRICOS,http://WWW.FOCKINK.IND.BR
000555,Fogás,
000419,Fonini Metalurgia e Iluminação Ltda,
000773,FORDENGE - Silosponte -  Formas Deslizantes,http://www.fordenge.com.br
001095,Formalux Soluções em cobertura,
000625,FORMED'S,http://http://www.formedsonline.com.br/
000838,Fortemp Comércio e Representação,
000215,Fortequip,
001046,Fortlev - Representante,
000014,Frigeral,
000570,FUNDACEL,
000889,FUNDAÇÕES ESPECIAIS,
000832,Fundações Rossi Ltda,http://www.fundacoesrossi.com.br
000247,Fundição Ampla - Grelha Boca de Lobo,http://www.fundicaoampla.com.br
000316,Fundição Duarte,http://www.fundicaoduarte.com.br
000835,Fundição São Roque,
001137,Fusão Comunicação Visual,
000860,Fusão Sinalização e Grafica Digital,http://www.fusaose.com
001015,Fusati  ( Filtros ),
001079,Futura Climatização e Energia Solar,
000335,G Barbosa Comercial Ltda,http://*
001010,G Dias Andaimes e Escoras,
000472,G R Forro de PVC,
000566,G.M. Engenharia,
001096,Galego das Bicas,
000670,GDH - Equipamento Hospitalar,
000545,Genoválvulas,http://WWW.genovalvulas.com.br
000833,Geoforte Fundações Engenharia Ltda,
000893,Geraforte - Grupos  Geradores,http://www.geraforte.com.br
000866,Gerencial Engenharia (Ensaio Cloreto em Concreto),
000077,GESSO E,
001009,GH Engenharia do Aço Ltda,
000506,GH Supply de Tecnologia Ltda,
000462,GHESA - Euro Atlântica Brasil Ltda (Fonte Luminosa,http://www.ghesa.com.br
000788,GIRA-ESTOQUE,http://www.giraestoque.com.br
000078,Gitamar Fibras,
000948,GLOBAL - Solulções de Negócios em Tecnologia,
000829,Global distribuidora de produtos Siderurgicos ltda,http://www.globaltubos.com.br
001084,Globo design,
001087,GMV - Eurodynamic Elevadores,
000671,Grabe Bombas e Equipamentos Industriais Ltda,http://www.grabe.com.br
000081,Gramas e Gramados Paisag. e Urbanização Ltda.,
000772,Gramasinteticas,
000428,"Grupo Galvanofer ( Brises Fe. galv.fiberglass, pvc",
000861,GRX Brasil,http://www.grx.com.br
001023,GS Madeira Amaru Eireli-me  ( Ponto de Ônibus),http://www.madeiraamaru.com.br
000684,GSH,http://www.tecbarragem.com.br
000409,H E Esquadria,
000897,Habitacional Empreend. ( Elevador Cremalheira),
000562,HALTEC,http://www.halteceletrica.com.br
000634,Hamada Tectenge,
000455,Heading (Quadros elétricos),http://www.heading.com.br
000933,Heplim - Sistemas Elétricos Ltda (Manual),
000185,Heplim - Sistemas Elétricos Ltda.,
000718,Hidramaco (tubos e conexões em ferro Dùctil),
000737,Hidraulis Ltda (Separador de água e óleo),
000750,Hidro Campo Met. Ltda (Tecnologia em caixa D'agua),http://www.hidrocampo.com.br
000531,HIDRO-LOG,
000900,Hidronox Distribuidora de Produtos em inox,
000637,HIDROPRESSÃO,http://www.hidropressao.com.br
000846,Hidrosanbh - Soluções Saneamento e Medição de Água,http://www.hidrosanbh.com.br
001028,Hidrosolo Serviços Hidrogeologico e Geológicos,
000597,HIPER FERRAGENS J. ALVES,http://.
000082,Hiper Sales,http://www.hipersales.com.br
000083,Hiper Vidros,
000516,HISTEC,http://HISTEC.COM.BR
000601,HITACHI,http://.
000479,Home Center Material de Construção ( forro PVC ),
000685,HORVATH,http://www.horvath.com.br
000368,HS,
001075,IB elevadores,
000442,IBQ,http://WWW.IBQ.COM.BR
001129,Ibratin - Tintas e Texturas,
000471,Ibratin Nordeste Ltda,
000426,ICI`S Ltda (Quadras Esportivas e Placar Eletrônico,
000340,illbruck Sonex Industrial Ltda.,
000960,Ilumatic S/A Iluminação e Eletrometalúrgica,
000084,Imatel,
000220,Impercon,
000932,Império Ductil,http://www.imperioductil.com.br
000980,Imply Tecnolugia Eletronica ( Placar Eletronico),
000413,Import Control,
000678,Import Control - Eng. de Sist. de Comb. Incêndio,
000705,Induspar Iluminação - Ventilação Elétrica (Reator),
000630,Industria Brasileira de estabilizadores e No Break,http://www.iben.ind.br
000766,Industria de Aço São João Ltda,
000818,Indústria de Portas Guajara Ltda - Sr. Anizio,
000957,Indústria de Premoldados Barbosa,
000535,Industria Nova Aurora - Artefatos de cimento,
000945,Industria Nova Aurora ( Artefatos de cimento),
000195,Informador das Construções,
001090,Inove Piscinas,
000824,Inoxline ARL Industria e Serviços de Metais Ltda,
001076,INOXY,http://www.Inoxy
001056,Insight Indústria da iluminação Ltda,
000644,Interconex Comercio e Serviços,
000901,INTERNET,
000433,Internordeste Pavimentações Ltda,
000256,Interseg,
000183,IPC Industria de Premoldados de Cimento Ltda (Prem,
001018,IPHAN/SE,
000486,Irmãos Abage & Cia Ltda,
000207,Iron Wall,http://www.geocities.com/ironwall001
000579,ISAR,http://http://www.isar.com.br/
000467,ISNetwork Integrador de Soluções,http://www.isnetwork.com.br
000715,Isoeste Ind. Com. de Isolantes - Telha,
000954,Itabaiana Madeira,
001074,Itaipu Transformadores,
000639,ITAMAR,http://.
000240,Itaquá Equipamento p/ Construção e Montagem Ltda,
000574,ITM,http://http://www.itmpr.com.br
001027,ITOGRASS  AGRÍCOLA ALTA MOGIANA  LTDA,
000826,IWI - Representações - Brasilit,
000086,Jaluzi,http://www.jaluzi.com.br
000384,Jatobá ( Pastilha),http://www.filtrosecia.com.br
000809,JAZIDA DE EDGAR NA TERRA DURA,
000707,Jeene ( junta de dilatação ),
001111,JM TELHAS COMÉRCIO E REPRESENTAÇÕES,
001125,JNunes / Decor,
000087,João das Pedras - Paralelepípedo Granítico,
000460,José Juarez de Almeida Filho (piso intertravado),
000248,José Mendonça Filho (Pré-Moldado),
000789,Jovic Engenharia,
000973,JRN Serviços e Instalações,
001134,JS Locação Demolição e Serviços,
000249,K & C LAJES - LAJE,
000979,Kango Brasil - Cadeiras Esportivas,http://www.Kango.com.br
000227,King Máquinas & Irrigações Ltda.,
000239,Kock Metalúrgica S.A. ( Talha),http://www.kochmetal.com.br
000657,Konex Ind e Com Ltda,http://www.konex.com.br
000286,Krone,http://http://www.kronebrasil.com.br/
000334,KSCRUZ Repre. e Consultoria Ltda ( Escuria l),
000010,L.G. Indústria e Comércio Ltda,
000337,Lanxess / Bayer,http://www.lanxess.com.br
000089,Larbelo (4M serviços),
000825,LB Esquadrias ( Inox ),
000596,LCL,http://.
000667,LEMOS TELECOMUNICAÇÕES,http://.
001021,Lenheiro Dona Zefinha,
000355,LEOLUD,http://www.leolud.com.br
000267,Leon Heimer S.A. ( Grupo Gerador ),http://www.heimer.com.br
000953,LEOX GLOBAL TRADING  ( LUMINARIAS ),
000371,Lfabra Elevadores,http://www.alfabra.com.br
000608,Lig Representações Ltda,http://www.tel.com.br
000533,Limpa Fossa Moderna,
001019,limpa fossa por do Sol,
000656,Linde Healthcare - Brasil,http://www.linde-healthcare.com.br
000754,Linox Indústria e Comercio Ltda,
000781,LIS Isolantes Ltda,
001099,Litoral Piscinas Aracaju Ltda,
001036,LL Parafusos,
001049,Locações JSA,
000304,Locmáquinas Pereira Ltda,
000512,LOCMONT,
000870,Loctal - Locação e manutenção máquinas Equipament.,
000675,Loja Bombom,
000929,Lojão das Ferramentas,
001035,Lojão dos Parafusos e Ferragens LTDA - EPP,
000695,LOJAS CERTEL,http://www.lojascertel.com.br
000779,Lokmix,
001121,LST link comércio e serviços tecnológicos,
000920,LÚDICO BRINQUEDOS INTELIGENTES,
000361,LUMICENTER,http://www.lumicenter.com
000359,LUMINA,http://www.luminatec.com.br
000107,luminance Iluminação,
000872,Luminária - G-light,
000268,Lupe Confecções,
000282,Lustres  Projeto,http://www.lustresprojeto.com.br
000412,M E Distribuidora,
001063,M&C Engenharia,
000188,M. Sobral Irrigações,
000477,MAAC Decorações (forro PVC ),
001062,Maccaferri do Brasil,
000092,Madeireira Iguaí,
000379,Madeireira Irmãos Costa Ltda,
001067,Maderbras Bahia,
001050,Maderbras Sergipe,
000955,Madereira Barbosa,
000421,Madereira São Francisco,http://*
000956,Madereira Sta Rita,
000432,Manuel Maia comércio de Pedras Ltda,http://www.pedrasmaia.com.br
000972,Marcelo Esquadria de Alumínio e Vidro,
000999,Marceneiro,
000095,Marcon - Mármore e Comercio Ltda.,
000096,Marcos Silk-Screen,
000401,Markafer Distr. de Ferro Fundido Ltda,http://www.markafer.com.br
001069,Marmoaria Fernandes - Mármores e Granitos,
000978,Marmoaria PRIME,
000097,Marmogran,
000819,Marmoraria Casa Nostra,
001108,Marmoraria Mota,
000490,Marmoraria Sergipe,
000206,Martins Internacional,http://www.martins-internacional.com.br
001005,Martiny Estrutura & Luminosos,
000717,MASSI (Hidrossemeadura),http://www.massi.com.br
001068,Master Fogões,
000263,Matel,http://www.telephone.com.br
000365,Materiais de Construção Nossa Senhora da Guia Ltda,
000229,Maxigas gás Distribuidora Aga,
000733,Maxxilub (Cx. separadora de àgua e òleo),
000917,MBP- Metalurgica Barra do Pirarì  (Telha alumínio),
000346,MBT- Brasil Industriae Comercio Ltda,http://www.masterbuilders.com.br
001020,MC Representações Ltda (Asperbras ),
001094,MC2 Painés Eletrônicos Ltda,
000218,Mecan,http://WWW.MECAN.COM.BR
000898,Mecan- Grupo Orguel (Locação Elevador Cremalheira),
000738,Mecanotecnica Brasil Ltda,
000338,Mega Light,http://www.megalight.ind.br
000919,Mendonça Plastico,
000557,Meneses representações Ltda,
000940,Meta Excelência em Sinalização (SINALIZAÇÃO PLACA),
000099,Metabil Plásticos Ltda.,
000100,Metal  Arte,
000101,Metal  Vidro,
000102,Metal Forte,
000367,Metalgrade,http://www.metalgrade.com.br
000989,Metalika - ASSA Abloy - Sistema de Segurança,
000586,METALPLÁSTICO,http://.
001051,Metalseg - Metalurgia para segurança,
001103,Metalúgica Ouro de Minas,
000556,Metalúrgica Acej Ltda,
000500,Metalúrgica Brusantin Ltda,http://www.Brusantin.com.br
000752,Metalúrgica CC Ltda,
001055,Metalurgica Power,
